"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mark Canha","NYM","140","542","13","71","61","3","8.9%","17.9%",".136",".309",".266",".367",".403",".343","","128","-1.0","16.7","-8.3","2.8","11445"
"Vladimir Guerrero Jr.","TOR","160","706","32","90","97","8","8.2%","16.4%",".205",".289",".274",".339",".480",".351","","132","-6.0","19.2","-15.1","2.8","19611"
"Jorge Mateo","BAL","150","533","13","63","50","35","5.1%","27.6%",".158",".286",".221",".267",".379",".281","","82","5.8","-5.2","14.5","2.8","17273"
"Randy Arozarena","TBR","153","645","20","72","89","32","7.1%","24.2%",".183",".325",".263",".327",".445",".336","","125","-4.3","13.8","-8.3","2.7","19290"
"Gleyber Torres","NYY","140","572","24","73","76","10","6.8%","22.6%",".194",".295",".257",".310",".451",".328","","115","-0.2","9.8","-2.0","2.7","16997"
"Brendan Donovan","STL","126","468","5","64","45","2","12.8%","15.0%",".097",".330",".281",".394",".379",".349","","129","-1.9","14.0","-3.8","2.7","24679"
"Thairo Estrada","SFG","140","541","14","71","62","21","6.1%","16.5%",".139",".290",".260",".322",".400",".317","","106","2.4","6.2","1.5","2.7","16426"
"Josh Rojas","ARI","125","510","9","66","56","23","10.8%","19.2%",".122",".323",".269",".349",".391",".326","","108","6.2","11.2","-2.9","2.7","19734"
"Lars Nootbaar","STL","108","347","14","53","40","4","14.7%","20.5%",".221",".248",".228",".340",".448",".342","","125","1.4","11.3","2.4","2.7","21454"
"Kyle Schwarber","PHI","155","669","46","100","94","10","12.9%","29.9%",".286",".240",".218",".323",".504",".355","","128","-0.8","21.2","-18.7","2.6","16478"
"Ramon Urias","BAL","118","445","16","50","51","1","6.7%","22.0%",".166",".287",".248",".305",".414",".313","","104","0.0","2.1","8.5","2.6","18795"
"Danny Jansen","TOR","72","248","15","34","44","1","10.1%","17.7%",".256",".255",".260",".339",".516",".364","","140","0.8","12.0","4.8","2.6","16535"
"Jazz Chisholm Jr.","MIA","60","241","14","39","45","12","8.7%","27.4%",".282",".294",".254",".325",".535",".365","","139","3.1","14.1","2.4","2.6","20454"
"Hunter Renfroe","MIL","125","522","29","62","72","1","7.5%","23.2%",".236",".281",".255",".315",".492",".347","","124","-1.6","12.9","-6.2","2.5","15464"
"Trayce Thompson","- - -","80","255","13","36","41","4","12.5%","36.5%",".251",".374",".256",".353",".507",".370","","142","3.2","15.8","-0.2","2.5","9952"
"Anthony Santander","BAL","152","647","33","78","89","0","8.5%","18.9%",".214",".248",".240",".318",".455",".336","","120","0.3","14.9","-11.6","2.5","14551"
"Jurickson Profar","SDP","152","658","15","82","58","5","11.1%","15.7%",".148",".272",".243",".331",".391",".320","","110","-1.4","6.3","-4.6","2.5","10815"
"Kolten Wong","MIL","134","497","15","65","47","17","9.3%","17.7%",".179",".280",".251",".339",".430",".336","","117","3.4","12.9","-6.0","2.5","12532"
"William Contreras","ATL","97","376","20","51","45","2","10.4%","27.7%",".228",".344",".278",".354",".506",".370","","138","-2.6","14.0","-3.4","2.4","20503"
"Teoscar Hernandez","TOR","131","535","25","71","77","6","6.4%","28.4%",".224",".335",".267",".316",".491",".348","","129","-2.5","15.0","-8.9","2.4","13066"
"Anthony Rizzo","NYY","130","548","32","77","75","6","10.6%","18.4%",".256",".216",".224",".338",".480",".352","","132","-3.6","16.4","-10.9","2.4","3473"
"Dylan Carlson","STL","128","488","8","56","42","5","9.2%","19.3%",".144",".281",".236",".316",".380",".306","","100","3.8","4.0","2.6","2.4","20126"
"Isaac Paredes","TBR","111","381","20","48","45","0","11.5%","17.6%",".230",".195",".205",".304",".435",".323","","116","-0.7","6.2","4.6","2.4","20036"
"Justin Turner","LAD","128","532","13","61","81","3","9.4%","16.7%",".160",".313",".278",".350",".438",".343","","123","-3.1","11.4","-6.4","2.4","5235"
"Ty France","SEA","140","613","20","65","83","0","5.7%","15.3%",".162",".296",".274",".338",".436",".337","","126","-2.8","14.9","-11.6","2.4","17982"
"Amed Rosario","CLE","153","670","11","86","71","18","3.7%","16.6%",".121",".326",".283",".312",".403",".311","","103","1.5","3.4","-2.2","2.4","15518"
"Max Muncy","LAD","136","565","21","69","69","2","15.9%","25.0%",".188",".227",".196",".329",".384",".318","","106","2.1","6.3","-2.7","2.4","13301"
"Trevor Story","BOS","94","396","16","53","66","13","8.1%","30.8%",".196",".309",".238",".303",".434",".316","","100","2.9","3.1","6.9","2.4","12564"
"Gio Urshela","MIN","144","551","13","61","64","1","7.4%","17.4%",".144",".326",".285",".338",".429",".332","","119","-6.2","5.6","-0.7","2.4","10681"
"Bryce Harper","PHI","99","426","18","63","65","11","10.8%","20.4%",".227",".324",".286",".364",".514",".369","","138","-0.9","18.1","-10.0","2.4","11579"
"Jake McCarthy","ARI","99","354","8","53","43","23","6.5%","21.5%",".143",".349",".283",".342",".427",".337","","116","7.7","14.3","-3.9","2.3","21622"
"Jon Berti","MIA","102","404","4","47","28","41","10.4%","22.0%",".098",".308",".240",".324",".338",".298","","93","8.0","4.9","3.7","2.3","12037"
"Eduardo Escobar","NYM","136","542","20","58","69","0","7.4%","23.8%",".190",".281",".240",".295",".430",".311","","106","3.1","6.9","-3.0","2.3","6153"
"Wander Franco","TBR","83","344","6","46","33","8","7.6%","9.6%",".140",".290",".277",".328",".417",".323","","116","4.0","10.3","0.9","2.3","23667"
"Bobby Witt Jr.","KCR","150","632","20","82","80","30","4.7%","21.4%",".174",".295",".254",".294",".428",".311","","99","6.8","6.3","-4.3","2.3","25764"
"Santiago Espinal","TOR","135","491","7","51","51","6","7.3%","13.8%",".102",".300",".267",".322",".370",".305","","99","-1.5","-1.9","8.2","2.3","19997"
"Matt Carpenter","NYY","47","154","15","28","37","0","12.3%","22.7%",".422",".304",".305",".412",".727",".472","","217","-0.9","19.4","-2.5","2.3","8090"
"Luis Urias","MIL","119","472","16","54","47","1","10.6%","21.0%",".165",".274",".239",".335",".404",".327","","110","0.2","5.8","0.0","2.3","16622"
"Christian Yelich","MIL","154","671","14","99","57","19","13.1%","24.1%",".130",".327",".252",".355",".383",".328","","111","3.4","11.9","-12.9","2.3","11477"
"Rhys Hoskins","PHI","156","672","30","81","79","2","10.7%","25.1%",".216",".292",".246",".332",".462",".345","","122","-3.4","13.7","-15.1","2.2","16472"
"Jace Peterson","MIL","113","328","8","44","34","12","10.1%","25.9%",".146",".303",".236",".316",".382",".306","","96","5.2","3.7","6.4","2.2","12325"
"Mike Yastrzemski","SFG","148","558","17","73","57","5","10.9%","25.3%",".177",".261",".214",".305",".392",".307","","99","2.6","1.8","0.4","2.2","14854"
"Ronald Acuna Jr.","ATL","119","533","15","71","50","29","9.9%","23.6%",".148",".331",".266",".351",".413",".335","","114","4.8","13.6","-10.7","2.2","18401"
"Trent Grisham","SDP","152","524","17","58","53","7","10.9%","28.6%",".157",".231",".184",".284",".341",".280","","83","5.8","-4.7","7.4","2.1","18564"
"Austin Slater","SFG","125","325","7","49","34","12","12.3%","27.4%",".144",".361",".264",".366",".408",".344","","124","3.5","12.7","-3.2","2.1","16153"
"Dylan Moore","SEA","104","255","6","41","24","21","13.3%","29.4%",".161",".320",".224",".368",".385",".338","","126","2.5","10.0","2.1","2.1","18042"
"Luis Robert","CHW","98","401","12","54","56","11","4.2%","19.2%",".142",".329",".284",".319",".426",".324","","111","4.4","9.5","-2.5","2.1","20043"
"Tyrone Taylor","MIL","120","405","17","49","51","3","5.4%","25.2%",".209",".272",".233",".286",".442",".314","","102","1.2","2.1","4.0","2.1","13675"
"Joc Pederson","SFG","134","433","23","57","70","3","9.7%","23.1%",".247",".310",".274",".353",".521",".373","","144","0.4","22.6","-17.6","2.1","11899"
"Brandon Crawford","SFG","118","458","9","50","52","1","8.5%","21.4%",".113",".280",".231",".308",".344",".289","","87","1.8","-5.3","9.2","2.0","5343"
"Seiya Suzuki","CHC","111","446","14","54","46","9","9.4%","24.7%",".171",".326",".262",".336",".433",".334","","116","-0.4","7.9","-3.7","2.0","30116"
"Tim Anderson","CHW","79","351","6","50","25","13","4.0%","15.7%",".093",".347",".301",".339",".395",".323","","110","2.8","6.8","1.2","2.0","15172"
"J.P. Crawford","SEA","145","603","6","57","42","3","11.3%","13.3%",".093",".275",".243",".339",".336",".306","","104","-1.0","1.4","-1.5","2.0","15491"
"Max Kepler","MIN","115","446","9","54","43","3","11.0%","14.8%",".121",".249",".227",".318",".348",".298","","95","0.8","-1.8","6.7","2.0","12144"
"Chas McCormick","HOU","119","407","14","47","44","4","11.3%","26.0%",".162",".308",".245",".332",".407",".326","","114","-1.1","5.2","0.9","2.0","19599"
"Javier Baez","DET","144","590","17","64","67","9","4.4%","24.9%",".155",".292",".238",".278",".393",".291","","90","2.5","-4.3","4.4","2.0","12979"
"Myles Straw","CLE","152","596","0","72","32","21","9.1%","14.6%",".052",".261",".221",".291",".273",".257","","64","7.6","-16.4","16.3","2.0","17620"
"Josh Bell","- - -","156","647","17","78","71","0","12.5%","15.8%",".156",".296",".266",".362",".422",".344","","123","-5.6","11.3","-14.4","2.0","13145"
"Chris Taylor","LAD","118","454","10","45","43","10","9.7%","35.2%",".152",".336",".221",".304",".373",".298","","93","3.4","-0.4","3.6","1.9","13757"
"Jose Siri","- - -","104","325","7","53","24","14","6.2%","33.2%",".126",".305",".213",".268",".339",".268","","75","5.6","-3.4","11.4","1.9","17452"
"Seby Zavala","CHW","61","205","2","22","21","0","9.3%","31.2%",".112",".404",".270",".347",".382",".323","","111","-0.7","1.7","9.5","1.9","18887"
"Christian Bethancourt","- - -","101","333","11","39","34","5","3.6%","24.0%",".157",".304",".252",".283",".409",".301","","101","-1.0","-0.8","7.9","1.9","10028"
"Jorge Polanco","MIN","104","445","16","54","56","3","14.4%","21.3%",".171",".269",".235",".346",".405",".333","","119","0.9","10.5","-7.2","1.8","13152"
"Albert Pujols","STL","109","351","24","42","68","1","8.0%","15.7%",".280",".252",".270",".345",".550",".380","","151","-6.6","14.0","-8.6","1.8","1177"
"Seth Brown","OAK","150","555","25","55","73","11","9.2%","26.3%",".214",".273",".230",".305",".444",".323","","116","2.4","12.7","-13.2","1.8","18171"
"Jack Suwinski","PIT","106","372","19","45","38","4","11.0%","30.6%",".209",".242",".202",".298",".411",".311","","100","0.6","0.4","3.9","1.8","22244"
"Eloy Jimenez","CHW","84","327","16","40","54","0","8.6%","22.0%",".205",".337",".295",".358",".500",".370","","144","-1.4","14.7","-8.6","1.7","17484"
"Jean Segura","PHI","98","387","10","45","33","13","6.5%","15.0%",".110",".307",".277",".336",".387",".320","","105","-1.6","0.4","3.0","1.7","5933"
"Keibert Ruiz","WSN","112","433","7","33","36","6","6.9%","11.5%",".109",".271",".251",".313",".360",".299","","90","-0.2","-5.2","7.0","1.7","19610"
"Cody Bellinger","LAD","144","550","19","70","68","14","6.9%","27.3%",".179",".255",".210",".265",".389",".284","","83","4.5","-6.2","3.8","1.7","15998"
"David Peralta","- - -","134","490","12","39","59","1","8.4%","23.3%",".164",".307",".251",".316",".415",".315","","104","0.1","2.4","-2.6","1.7","2136"
"Brandon Marsh","- - -","134","461","11","49","52","10","6.1%","34.3%",".139",".360",".245",".295",".384",".296","","89","2.5","-2.9","4.0","1.7","20202"
"Brendan Rodgers","COL","137","581","13","72","63","0","7.9%","17.4%",".142",".304",".266",".325",".408",".321","","92","-1.7","-7.2","3.5","1.7","17907"
"Josh Naylor","CLE","122","498","20","47","79","6","7.6%","16.1%",".196",".268",".256",".319",".452",".331","","117","-3.6","5.8","-5.8","1.7","18839"
"Kyle Higashioka","NYY","83","248","10","27","31","0","4.8%","21.0%",".162",".246",".227",".264",".389",".282","","83","-0.1","-4.8","12.6","1.7","5517"
"Reese McGuire","- - -","89","274","3","25","22","1","4.4%","20.4%",".100",".332",".269",".307",".369",".297","","90","-1.9","-5.1","11.9","1.6","15674"
"Luis Rengifo","LAA","127","511","17","45","52","6","3.3%","15.5%",".166",".285",".264",".294",".429",".314","","103","1.4","2.8","-3.6","1.6","19858"
"Christian Vazquez","- - -","119","426","9","41","52","1","5.2%","16.2%",".126",".310",".274",".315",".399",".312","","99","-9.9","-10.2","12.1","1.6","9774"
"Josh Donaldson","NYY","132","546","15","59","62","2","9.9%","27.1%",".153",".283",".222",".308",".374",".302","","97","-4.5","-6.6","4.5","1.6","5038"
"Oscar Gonzalez","CLE","91","382","11","39","43","1","3.9%","19.6%",".166",".345",".296",".327",".461",".339","","122","-1.3","8.3","-5.1","1.6","20970"
"Christopher Morel","CHC","113","425","16","55","47","10","8.9%","32.2%",".198",".320",".235",".308",".433",".322","","108","1.9","5.9","-5.1","1.6","21897"
"Ryan Mountcastle","BAL","145","609","22","62","85","4","7.1%","25.3%",".173",".303",".250",".305",".423",".316","","106","0.7","5.0","-9.5","1.6","18373"
"Michael A. Taylor","KCR","124","456","9","49","43","4","7.7%","23.9%",".104",".321",".254",".313",".357",".297","","90","0.6","-4.8","5.0","1.5","11489"
"Oswaldo Cabrera","NYY","44","171","6","21","19","3","8.8%","25.7%",".182",".305",".247",".312",".429",".322","","111","0.4","2.6","6.6","1.5","21707"
"Tyler Stephenson","CIN","50","183","6","24","35","1","6.6%","25.7%",".163",".409",".319",".372",".482",".370","","134","0.6","7.7","0.8","1.5","17988"
"Austin Hays","BAL","145","582","16","66","60","2","5.8%","19.6%",".163",".289",".250",".306",".413",".314","","105","0.6","3.8","-7.6","1.5","19363"
"Nick Gordon","MIN","138","443","9","45","50","6","4.3%","23.7%",".156",".340",".272",".316",".427",".321","","111","-0.6","4.9","-4.5","1.5","16337"
"Sam Haggerty","SEA","83","201","5","29","23","13","9.0%","26.4%",".148",".333",".256",".335",".403",".320","","114","2.2","5.3","2.7","1.5","18054"
"Whit Merrifield","- - -","139","550","11","70","58","16","6.9%","15.5%",".125",".276",".250",".298",".375",".294","","88","2.6","-4.6","1.4","1.5","11281"
"Joey Meneses","WSN","56","240","13","33","34","1","6.3%","21.7%",".239",".371",".324",".367",".563",".395","","156","-2.8","12.8","-6.6","1.5","14366"
"Manuel Margot","TBR","89","363","4","36","47","7","6.6%","18.7%",".101",".332",".274",".325",".375",".308","","106","2.3","4.6","-2.0","1.5","14712"
"Vinnie Pasquantino","KCR","72","298","10","25","26","1","11.7%","11.4%",".155",".306",".295",".383",".450",".365","","137","-2.1","10.4","-5.8","1.5","27676"
"Daniel Vogelbach","- - -","130","461","18","47","59","0","15.8%","24.7%",".194",".290",".238",".360",".433",".349","","128","-3.3","11.7","-13.1","1.5","14130"
"Alec Bohm","PHI","152","631","13","79","72","2","4.9%","17.4%",".118",".319",".280",".315",".398",".310","","98","-0.5","-2.2","-4.9","1.5","21618"
"Jonathan Schoop","DET","131","510","11","48","38","5","3.7%","21.0%",".121",".234",".202",".239",".322",".245","","57","-0.2","-24.6","22.3","1.5","11265"
"Harrison Bader","- - -","86","313","5","38","30","17","4.8%","19.8%",".106",".300",".250",".294",".356",".286","","86","4.2","-0.7","4.3","1.5","18030"
"Tony Kemp","OAK","147","558","7","61","46","11","8.1%","12.4%",".099",".259",".235",".307",".334",".287","","91","4.1","-1.4","-2.3","1.5","14894"
"Aaron Hicks","NYY","130","453","8","54","40","10","13.7%","24.1%",".096",".279",".216",".330",".313",".292","","90","2.5","-2.6","2.1","1.5","5297"
"Wilmer Flores","SFG","151","602","19","72","71","0","9.8%","17.1%",".166",".246",".229",".316",".394",".312","","103","-1.4","0.5","-7.2","1.4","5827"
"Ketel Marte","ARI","137","558","12","68","52","5","9.9%","18.1%",".167",".276",".240",".321",".407",".317","","102","-0.9","0.6","-5.8","1.4","13613"
"Corbin Carroll","ARI","32","115","4","13","14","2","7.0%","27.0%",".240",".333",".260",".330",".500",".358","","130","0.9","4.9","4.7","1.4","25878"
"Kyle Farmer","CIN","145","583","14","58","78","4","5.7%","17.0%",".131",".286",".255",".315",".386",".309","","92","-4.6","-10.3","4.2","1.4","14813"
"Josh Harrison","CHW","119","425","7","50","27","2","4.9%","16.7%",".114",".297",".256",".317",".370",".305","","98","-1.6","-2.8","2.6","1.4","8202"
"Garrett Cooper","MIA","119","469","9","37","50","0","8.5%","25.4%",".155",".340",".261",".337",".415",".330","","115","-2.2","6.2","-8.6","1.4","15279"
"Bryson Stott","PHI","127","466","10","58","49","12","7.7%","19.1%",".124",".274",".234",".295",".358",".289","","83","4.7","-4.3","1.9","1.4","26294"
"Nick Fortes","MIA","72","240","9","41","24","5","7.5%","18.8%",".161",".252",".230",".304",".392",".308","","100","0.0","0.0","5.1","1.4","21538"
"Ildemaro Vargas","- - -","63","222","4","19","23","3","3.6%","10.4%",".129",".279",".263",".299",".392",".302","","92","0.5","-1.5","7.1","1.4","13324"
"Austin Barnes","LAD","62","212","8","31","26","2","12.7%","17.5%",".168",".222",".212",".324",".380",".315","","104","-2.1","-1.1","7.0","1.4","12158"
"Luis Guillorme","NYM","102","335","2","33","17","1","10.1%","13.7%",".067",".317",".273",".351",".340",".311","","106","-6.1","-3.7","5.2","1.3","16451"
"Rob Refsnyder","BOS","57","177","6","25","21","1","8.5%","26.0%",".190",".394",".307",".384",".497",".381","","146","1.7","10.9","-3.8","1.3","13770"
"Cavan Biggio","TOR","97","303","6","43","24","2","12.5%","28.1%",".148",".275",".202",".318",".350",".302","","97","2.2","1.0","2.1","1.3","19252"
"Isiah Kiner-Falefa","NYY","142","531","4","66","48","22","6.6%","13.6%",".066",".296",".261",".314",".327",".285","","85","1.1","-7.8","3.6","1.3","16512"
"Eric Haase","DET","110","351","14","41","44","0","6.8%","27.6%",".189",".316",".254",".305",".443",".322","","112","-1.5","3.1","-1.8","1.3","14111"
"Kevin Newman","PIT","78","309","2","31","24","8","5.2%","15.5%",".097",".322",".274",".316",".372",".303","","94","3.0","0.7","1.3","1.3","17696"
"Gary Sanchez","MIN","128","471","16","42","61","2","8.5%","28.9%",".172",".257",".205",".282",".377",".290","","89","-2.6","-8.3","5.7","1.3","11442"
"Tyler O'Neill","STL","96","383","14","56","58","14","9.9%","26.9%",".165",".277",".228",".308",".392",".307","","101","1.4","1.9","-2.5","1.3","15711"
"Ji-Man Choi","TBR","113","419","11","36","52","0","13.8%","29.4%",".154",".320",".233",".341",".388",".322","","116","-2.7","4.6","-5.7","1.3","5452"
"C.J. Cron","COL","150","632","29","79","102","0","6.8%","25.9%",".210",".307",".257",".315",".468",".335","","101","0.5","1.5","-10.7","1.3","12546"
"Evan Longoria","SFG","89","298","14","31","42","0","9.1%","27.9%",".207",".297",".244",".315",".451",".330","","115","-2.3","2.8","-0.8","1.3","9368"
"Joey Wendle","MIA","101","371","3","27","32","12","4.0%","13.5%",".101",".293",".259",".297",".360",".289","","87","0.0","-5.6","5.0","1.2","13853"
"Leody Taveras","TEX","99","341","5","39","34","11","6.2%","25.8%",".105",".344",".261",".309",".366",".297","","93","2.2","-0.6","1.6","1.2","18900"
"Nicky Lopez","KCR","142","480","0","51","20","13","6.0%","13.1%",".046",".265",".227",".281",".273",".251","","57","5.2","-18.2","14.7","1.2","19339"
"Edmundo Sosa","- - -","78","190","2","26","21","6","2.6%","26.3%",".142",".304",".227",".275",".369",".282","","82","2.2","-1.8","7.0","1.2","17022"
"Michael Brantley","HOU","64","277","5","28","26","1","11.2%","10.8%",".128",".311",".288",".370",".416",".345","","127","-0.7","7.7","-4.9","1.2","4106"
"Oneil Cruz","PIT","87","361","17","45","54","10","7.8%","34.9%",".218",".317",".233",".294",".450",".320","","106","2.0","4.5","-5.1","1.2","21711"
"Miguel Rojas","MIA","140","507","6","34","36","9","5.1%","12.0%",".087",".258",".236",".283",".323",".268","","73","-4.0","-19.9","14.3","1.2","7802"
"Harold Ramirez","TBR","120","435","6","46","58","3","4.4%","16.6%",".104",".350",".300",".343",".404",".327","","119","-2.3","7.0","-9.5","1.2","14387"
"Victor Caratini","MIL","96","314","9","26","34","0","9.9%","21.3%",".143",".228",".199",".300",".342",".289","","84","-3.2","-8.9","9.5","1.2","14968"
"Alex Verdugo","BOS","152","644","11","75","74","1","6.5%","13.4%",".125",".309",".280",".328",".405",".319","","103","-1.1","0.8","-10.2","1.2","17027"
"Giancarlo Stanton","NYY","110","452","31","53","78","0","11.1%","30.3%",".251",".227",".211",".297",".462",".327","","115","-2.6","4.8","-8.2","1.2","4949"
"Omar Narvaez","MIL","84","296","4","21","23","0","9.8%","19.3%",".099",".248",".206",".292",".305",".269","","71","-0.3","-10.3","11.3","1.1","13338"
"Ozzie Albies","ATL","64","269","8","36","35","3","5.9%","17.5%",".162",".270",".247",".294",".409",".305","","93","1.5","-0.7","2.5","1.1","16556"
"Jose Miranda","MIN","125","483","15","45","66","1","5.8%","18.8%",".158",".307",".268",".325",".426",".329","","117","-4.5","4.6","-9.3","1.1","20538"
"Lane Thomas","WSN","146","548","17","62","52","8","7.5%","24.1%",".163",".291",".241",".301",".404",".308","","96","-0.6","-3.0","-4.9","1.1","16939"
"Trevor Larnach","MIN","51","180","5","22","18","0","10.0%","31.7%",".175",".320",".231",".306",".406",".309","","102","0.6","1.0","3.7","1.1","21501"
"Kevin Kiermaier","TBR","63","221","7","28","22","6","6.3%","27.6%",".141",".290",".228",".281",".369",".286","","90","3.2","0.7","2.6","1.1","11038"
"Adam Frazier","SEA","156","602","3","61","42","11","7.6%","12.1%",".072",".268",".238",".301",".311",".274","","81","-0.2","-13.1","4.4","1.1","15223"
"Patrick Wisdom","CHC","134","534","25","67","66","8","9.9%","34.3%",".220",".274",".207",".298",".426",".316","","104","0.6","3.0","-10.8","1.1","13602"
"Wil Myers","SDP","77","286","7","29","41","2","7.3%","30.1%",".138",".357",".261",".315",".398",".311","","104","1.2","2.4","-2.2","1.0","10047"
"Carlos Santana","- - -","131","506","19","52","60","0","14.0%","17.4%",".174",".209",".202",".316",".376",".308","","102","1.0","2.0","-8.3","1.0","2396"
"Garrett Mitchell","MIL","28","68","2","9","9","8","8.8%","41.2%",".148",".548",".311",".373",".459",".365","","136","2.2","5.1","2.3","1.0","27555"
"J.D. Martinez","BOS","139","596","16","76","62","0","8.7%","24.3%",".174",".345",".274",".341",".448",".343","","119","-7.3","5.8","-15.0","1.0","6184"
"Jake Fraley","CIN","68","247","12","33","28","4","10.5%","21.9%",".208",".289",".259",".344",".468",".352","","121","1.6","7.6","-6.2","1.0","19260"
"Lourdes Gurriel Jr.","TOR","121","493","5","52","52","3","6.3%","16.8%",".108",".346",".291",".343",".400",".327","","114","-4.1","3.8","-9.8","1.0","19238"
"Emmanuel Rivera","- - -","102","359","12","46","40","1","6.4%","23.1%",".176",".275",".233",".292",".409",".306","","95","-0.9","-2.7","0.7","1.0","19890"
"Jose Iglesias","COL","118","467","3","48","47","2","3.6%","12.0%",".089",".326",".292",".328",".380",".312","","85","-3.3","-11.2","5.1","1.0","10231"
"Tomas Nido","NYM","98","313","3","31","28","0","4.5%","24.3%",".085",".314",".239",".276",".324",".265","","74","-7.0","-16.3","14.8","0.9","13755"
"J.D. Davis","- - -","115","365","12","46","35","1","10.7%","33.4%",".170",".360",".248",".340",".418",".333","","119","-3.1","5.1","-8.5","0.9","16219"
"Yoan Moncada","CHW","104","433","12","41","51","2","7.4%","26.3%",".141",".265",".212",".273",".353",".275","","76","1.3","-10.2","5.3","0.9","17232"
"David Villar","SFG","52","181","9","21","24","0","9.9%","32.0%",".224",".300",".231",".331",".455",".344","","124","-0.3","4.8","-2.0","0.9","24782"
"Adam Duvall","ATL","86","315","12","39","36","0","6.7%","32.1%",".188",".278",".213",".276",".401",".295","","87","2.7","-2.2","0.4","0.9","10950"
"Eli White","TEX","47","117","3","16","10","12","9.4%","35.0%",".105",".290",".200",".274",".305",".260","","67","4.2","-0.2","5.3","0.9","19346"
"Rodolfo Castro","PIT","71","278","11","25","27","5","7.9%","26.6%",".194",".284",".233",".299",".427",".315","","103","0.3","1.1","-1.7","0.9","21987"
"Ryan Jeffers","MIN","67","236","7","25","27","0","9.7%","26.3%",".156",".259",".208",".285",".363",".287","","87","-1.3","-4.7","5.8","0.9","24618"
"Ramon Laureano","OAK","94","383","13","49","34","11","6.5%","27.2%",".165",".262",".211",".287",".376",".294","","96","3.0","1.2","-4.8","0.9","17128"
"Riley Greene","DET","93","418","5","46","42","1","8.6%","28.7%",".109",".354",".253",".321",".362",".303","","98","-0.1","-1.1","-3.6","0.9","25976"
"Brandon Lowe","TBR","65","266","8","31","25","1","10.2%","22.9%",".162",".263",".221",".308",".383",".306","","104","2.0","3.3","-3.2","0.9","18882"
"Zach McKinstry","- - -","57","185","5","21","14","7","8.6%","28.1%",".163",".257",".199",".273",".361",".280","","79","3.9","-0.6","2.9","0.9","19392"
"Jesus Sanchez","MIA","98","343","13","38","36","1","7.6%","26.8%",".188",".258",".214",".280",".403",".298","","93","-1.5","-4.1","1.1","0.9","19913"
"Nate Eaton","KCR","44","122","1","16","12","11","8.2%","24.6%",".123",".346",".264",".331",".387",".313","","101","3.1","3.2","1.2","0.9","25055"
"Charles Leblanc","MIA","48","169","4","18","11","4","7.1%","31.4%",".141",".374",".263",".320",".404",".318","","107","1.4","2.8","-0.3","0.9","19813"
"Trey Mancini","- - -","143","587","18","56","63","0","9.0%","23.0%",".152",".286",".239",".319",".391",".312","","104","-3.0","-0.5","-10.1","0.9","15149"
"Ryan McKenna","BAL","105","172","2","23","11","2","6.4%","32.0%",".103",".350",".237",".294",".340",".279","","80","2.7","-1.1","3.6","0.8","19928"
"Danny Mendick","CHW","31","106","3","22","15","1","6.6%","21.7%",".155",".352",".289",".343",".443",".344","","125","1.0","4.0","0.6","0.8","18889"
"Keston Hiura","MIL","80","266","14","34","32","5","8.6%","41.7%",".222",".355",".226",".316",".449",".334","","115","0.7","5.3","-6.4","0.8","20003"
"Rowdy Tellez","MIL","153","599","35","67","89","2","10.4%","20.2%",".242",".215",".219",".306",".461",".327","","110","-6.6","0.7","-12.9","0.8","15679"
"Anthony Rendon","LAA","47","193","5","15","24","2","11.9%","18.1%",".151",".258",".229",".326",".380",".314","","103","-0.2","0.4","1.3","0.8","12861"
"Mitch Haniger","SEA","57","247","11","31","34","0","8.1%","26.3%",".183",".293",".246",".308",".429",".319","","113","-0.9","2.7","-2.9","0.8","14274"
"Sean Bouchard","COL","27","97","3","9","11","0","21.6%","25.8%",".203",".404",".297",".454",".500",".417","","158","0.2","6.6","-2.3","0.8","21270"
"Gunnar Henderson","BAL","34","132","4","12","18","1","12.1%","25.8%",".181",".333",".259",".348",".440",".343","","125","-0.2","3.6","-0.3","0.8","26289"
"Nick Maton","PHI","35","85","5","13","17","0","11.8%","34.1%",".264",".325",".250",".341",".514",".364","","135","0.9","4.3","0.0","0.8","21635"
"Luke Maile","CLE","76","206","3","19","17","0","9.2%","26.2%",".105",".291",".221",".301",".326",".281","","81","-1.1","-5.4","5.9","0.7","13355"
"Gabriel Moreno","TOR","25","73","1","10","7","0","5.5%","11.0%",".058",".350",".319",".356",".377",".326","","113","-0.3","0.8","3.8","0.7","22664"
"Vaughn Grissom","ATL","41","156","5","24","18","5","7.1%","21.8%",".149",".350",".291",".353",".440",".345","","121","1.9","5.7","-4.1","0.7","26031"
"Livan Soto","LAA","18","59","1","9","9","1","3.4%","22.0%",".182",".500",".400",".414",".582",".424","","181","0.6","6.0","-1.0","0.7","22471"
"Kyle Isbel","KCR","106","278","5","32","28","9","5.8%","27.0%",".129",".275",".211",".264",".340",".265","","67","-0.8","-11.1","9.1","0.7","21614"
"Yonathan Daza","COL","113","408","2","56","34","0","6.4%","14.2%",".083",".347",".301",".349",".384",".323","","93","-0.1","-3.2","-4.0","0.7","15794"
"Willi Castro","DET","112","392","8","47","31","9","3.8%","20.9%",".126",".288",".241",".284",".367",".285","","86","1.6","-4.7","-1.2","0.7","17338"
