"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Rojas","LAA","22","57","0","1","1","0","0.0%","33.3%",".036",".189",".125",".140",".161",".134","","-24","-0.3","-8.3","0.9","-0.6","19331"
"Alex Kirilloff","MIN","45","156","3","14","21","0","3.2%","23.1%",".111",".308",".250",".290",".361",".286","","86","-2.0","-4.4","-6.2","-0.6","20325"
"Calvin Mitchell","PIT","69","232","5","21","17","3","7.8%","22.4%",".123",".276",".226",".286",".349",".281","","79","1.1","-4.6","-8.9","-0.6","22169"
"Jared Walsh","LAA","118","454","15","41","44","2","5.9%","30.4%",".158",".281",".215",".269",".374",".278","","78","-0.7","-12.2","-7.9","-0.6","18607"
"Tyler Nevin","BAL","58","184","2","17","16","0","10.9%","25.0%",".064",".259",".197",".299",".261",".261","","67","-1.2","-8.0","-3.6","-0.6","17893"
"Jacob Stallings","MIA","114","384","4","25","34","0","7.6%","21.6%",".069",".280",".223",".292",".292",".265","","71","-5.3","-18.2","-0.6","-0.6","13723"
"Nick Senzel","CIN","110","420","5","45","25","8","7.1%","18.1%",".075",".276",".231",".296",".306",".272","","66","-0.9","-17.5","-2.6","-0.6","19293"
"Jason Castro","HOU","34","88","1","6","3","1","9.1%","45.5%",".064",".211",".115",".205",".179",".183","","13","0.3","-8.3","-0.5","-0.6","8722"
"Billy McKinney","OAK","23","57","1","3","4","0","7.0%","28.1%",".077",".111",".096",".158",".173",".144","","-10","-2.1","-9.2","1.4","-0.6","15654"
"Michael Chavis","PIT","129","426","14","39","49","1","4.5%","29.6%",".160",".294",".229",".265",".389",".282","","80","0.3","-9.7","-10.7","-0.6","17321"
"Stephen Vogt","OAK","70","191","7","18","23","1","8.9%","24.1%",".161",".168",".161",".241",".321",".249","","64","0.0","-7.8","-4.5","-0.6","5000"
"Chris Owings","BAL","27","68","0","6","0","1","14.7%","35.3%",".036",".188",".107",".254",".143",".204","","27","-0.8","-6.3","-2.0","-0.7","10030"
"Lewin Diaz","MIA","58","174","5","12","11","1","6.3%","31.0%",".119",".214",".169",".224",".288",".228","","45","-0.6","-11.7","-0.5","-0.7","18365"
"Donovan Walton","- - -","25","78","1","9","8","0","1.3%","20.5%",".145",".186",".158",".179",".303",".208","","31","-0.5","-6.8","-2.2","-0.7","19314"
"Frank Schwindel","CHC","75","292","8","23","36","0","6.5%","19.9%",".129",".261",".229",".277",".358",".278","","78","-2.5","-10.0","-6.2","-0.7","15351"
"Abraham Toro","SEA","109","352","10","36","35","2","6.3%","18.5%",".139",".198",".185",".239",".324",".246","","62","-1.1","-16.3","-1.7","-0.7","19844"
